Index,Progress,Age,HouseoldIncome,Gender_2,Gender,Ethnicity,Ethnicity_selfDefined,Religious_Affilation,Highest_Qualification,SocialMedia_Use,Extremism_ScorePCA,Extermism_scoreScaled,Strain_Resilience_score,Strain_Score,Resilience_score,Confidence_inSelf,Political_Engagment,Political_LeaningRight_Left,Racism_scale
1492,100,29,3,0,0,3,English,2,1,0.381925319,0.265530905,0.435034645,0.141944517,1.170543529,-1.251829697,-0.736416333,-0.682311858,-1.405877875,0.262153509
1493,100,65,8,0,0,3,British,2,2,-0.212874344,0.016249531,0.784362748,1.042882953,-0.313641983,1.600754221,0.415691291,-0.682311858,-0.60945802,0.262153509
1494,100,56,0,0,0,3,British,2,3,-0.153394378,0.575972675,0,0.90427704,-0.478551484,1.427870347,-0.736416333,0.536251216,0.717908405,1.057040397
1495,100,74,2,1,1,3,English,2,3,0.738805117,0.12134543,0.637087601,-0.204570266,-0.561006235,0.304125167,-0.016349068,-0.682311858,0.09847074,1.057040397
1496,100,NA,6,1,1,3,British,2,5,-0.569754142,0.575972675,0,0.90427704,0.01617702,0.563450978,0.415691291,0.536251216,0.894890595,1.057040397
1497,100,NA,2,0,0,3,British,0,1,-0.510274176,0.4317872,0.202052955,-2.491567834,-2.622375001,-0.387410328,-2.320564315,-0.073030321,0.27545293,0.659596953
2146,100,NA,5,1,1,3,English,2,3,-0.569754142,-1.299939971,2.628792489,1.250791823,0.593360274,1.427870347,-1.024443239,NA,-0.25549364,0.262153509
2149,100,NA,3,0,0,3,English,0,4,-0.510274176,NA,NA,0.211247474,0.923179277,-0.906061949,-0.448389427,NA,-0.9634224,-2.122507157
2150,100,54,1,0,0,3,Scottish,2,2,1.749964545,0.575972675,0,-0.204570266,0.840724526,-1.338271634,0.847731649,1.145532752,0.8063995,-0.135289936
2151,100,68,2,0,0,3,English,2,5,0.025045521,0.575972675,0,-0.343176179,0.345996022,-0.992503886,-0.880429786,1.754814289,1.16036388,1.057040397
2154,100,NA,5,0,0,3,English,0,1,NA,0.265530905,0.435034645,0.211247474,-0.808370487,0.909218726,0.271677838,-0.682311858,0.8063995,NA
2156,100,47,20,0,0,3,English,2,NA,0.084525487,-1.234407675,2.536959425,0.973579997,0.923179277,0.304125167,-1.744510504,NA,-0.9634224,-2.122507157
2158,100,NA,3,1,1,3,English,0,1,0.85776505,0.575972675,0,0.141944517,-0.148732481,-0.04164258,-0.880429786,0.536251216,-1.051913495,-0.53273338
2163,100,NA,0,1,1,3,English,0,2,0.025045521,0.575972675,0,-1.105508702,-0.313641983,-1.251829697,-0.59240288,0.536251216,-1.31738678,-1.725063713
2164,100,36,5,1,1,3,English,0,3,-0.867153974,0.002403536,0.803765702,0.834974083,0.675815025,0.131241293,-0.016349068,NA,0.09847074,-1.327620268
2165,100,NA,4,0,0,3,British,2,1,-0.27235431,-0.954931945,2.145318746,-0.689690962,0.345996022,-1.424713571,-1.888523957,-0.682311858,-0.60945802,-0.135289936
2166,100,46,13,0,0,3,English,2,2,4.426563029,0.575972675,0,0.419156344,1.005634028,-0.733178076,-0.160362521,-0.073030321,-0.874931305,-0.135289936
2168,100,57,0,0,0,2,White and Black Caribbean,2,1,1.928404444,-2.434477061,4.218665337,-3.739021054,-4.106560513,-0.04164258,-1.168456692,-0.073030321,0.62941731,-0.135289936
2170,87,21,1,0,0,3,European,2,2,NA,0.016088466,0.784588455,-0.758993919,-0.643460985,-0.300968391,-2.464577768,NA,0.8063995,1.057040397
2172,89,75,4,1,1,3,British,0,2,-0.569754142,0.575972675,0,0.28055043,0.923179277,-0.819620013,0.703718197,NA,0.8063995,1.057040397
2173,100,53,13,0,0,3,Scottish,2,3,-0.510274176,0.575972675,0,-0.273873223,0.181086521,-0.387410328,-0.016349068,NA,-0.343984735,0.262153509
2174,100,69,6,1,1,3,English,2,3,0.679325151,NA,NA,0.003338604,0.593360274,-0.819620013,0.559704744,NA,0.894890595,1.057040397
2179,100,45,7,0,0,3,British,0,4,2.285284242,NA,NA,0.419156344,-0.561006235,1.773638095,0.127664385,-0.073030321,-1.14040459,-1.725063713
2181,89,51,5,0,0,3,English,0,4,0.20348542,0.4317872,0.202052955,0.141944517,-0.066277731,0.563450978,-0.160362521,4.191940436,0.62941731,0.659596953
2182,100,NA,3,0,0,3,English,0,3,0.322445353,NA,NA,0.141944517,-0.148732481,0.477009041,0.271677838,NA,0.540926215,0.659596953
2183,89,NA,12,0,0,3,English,2,2,0.20348542,-3.055272033,5.088610515,-0.689690962,-0.313641983,-0.214526454,-0.160362521,0.536251216,2.04527483,1.057040397
2185,100,65,3,1,1,3,English,0,2,0.144005454,0.430624816,0.203681851,-0.689690962,-0.313641983,-1.078945823,0.703718197,0.536251216,1.071872785,0.659596953
2187,100,50,4,1,1,3,European,0,1,-1.105073839,0.575972675,0,1.52800365,0.840724526,0.822776789,1.567798914,-0.682311858,0.540926215,0.659596953
2189,100,52,7,0,0,3,English,2,1,-0.688714075,0.575972675,0,-0.135267309,0.345996022,-0.733178076,0.271677838,-0.682311858,-0.25549364,0.659596953
2190,100,NA,3,0,0,3,European,2,2,-0.510274176,0.170809571,0.567771493,0.557762257,-0.478551484,1.860080032,0.847731649,-0.682311858,1.071872785,1.057040397
2191,100,60,3,0,0,3,English,5,2,0.917245016,0.575972675,0,0.003338604,0.675815025,-0.906061949,-1.024443239,-0.682311858,NA,1.057040397
2193,89,64,8,0,0,3,English,2,1,-0.688714075,0.575972675,0,0.003338604,1.170543529,-1.424713571,NA,NA,-0.697949115,1.057040397
2194,100,74,3,0,0,3,British,0,0,-0.034434445,0.430463751,0.203907558,0.211247474,0.510905524,-0.473852265,1.567798914,1.145532752,-1.051913495,-3.314837489
2197,100,NA,4,0,0,3,English,0,1,-0.034434445,0.575972675,0,1.32009478,0.593360274,0.822776789,1.999839273,-0.682311858,NA,0.262153509
2199,100,64,4,1,1,3,Irish,0,3,-0.331834277,0.575972675,0,2.221033216,0.840724526,2.205847779,-0.59240288,-0.682311858,0.45243512,0.659596953
2201,100,32,20,0,0,3,English,0,5,2.999043837,0.575972675,0,-0.412479136,-0.890825237,-0.300968391,0.127664385,2.973377363,0.09847074,0.262153509
2202,100,NA,1,0,0,3,English,2,2,-0.212874344,0.575972675,0,-0.273873223,-0.478551484,0.477009041,0.271677838,-0.682311858,-0.60945802,-1.725063713
2204,100,NA,5,0,0,3,English,2,2,0.441405285,-0.540191714,1.564126436,-0.065964353,-0.313641983,0.044799357,1.423785461,NA,-0.697949115,0.659596953
